Hello,Hello to you!
Hi,Hello there!
How are you today,I am well.  How are you?
Hello,Hello to you!
Hi,Hello there!
How are you,I am well.  How are you?
How is weather today,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=How is weather today'>How is weather today</a>
what is the time now,"Today is Thursday, 5/4/2023"
what is the date,"Today is Thursday, 5/4/2023"
what time is it,The time is now 10:49 PM EST
Hello,It's nice to see you!
what you want to talk about,AI is short of Artificial intelligence
What can you talk about,"Lots of things!<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I want to talk about Robots')"";>Robots</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I want to talk about AI')"";>AI</a><br>"
I want to talk about Robots,I love robots
I want to talk about AI,AI is short of Artificial intelligence
Hello,Hey!
Hi,Hello there!
what do you look like,"<img src=""C:\Users\vb4\Desktop\Knowledgebase_Chatbot\ChatbotImage.jpg"">"
do you have a website?,"<a href=""https://www.chatbot.com"">Chappie's website</a>"
Hello,It's nice to see you!
Hi,Hello there!
WHo do you look like?,"<img src=""C:\Users\vb4\Desktop\Knowledgebase_Chatbot\ChatbotImage.jpg"">"
